factor,threshold_pp,model_a,model_b,delta_A_pp,delta_PFC,delta_PSC,delta_U8
spatial,3,skywork_vl_reward_7b,phi35_vision_instruct,1.834208098543677,-0.03981950642170562,0.0781998844254711,0.019689657778094505
spatial,1,skywork_vl_reward_7b,internvl3_8b_hf,0.646345445768115,-0.2266978256366461,-0.016042010269047502,-0.11639309004756193
spatial,2,skywork_vl_reward_7b,internvl3_8b_hf,0.646345445768115,-0.2266978256366461,-0.016042010269047502,-0.11639309004756193
spatial,3,skywork_vl_reward_7b,internvl3_8b_hf,0.646345445768115,-0.2266978256366461,-0.016042010269047502,-0.11639309004756193
spatial,2,skywork_vl_reward_7b,llava_onevision_qwen2_7b,1.7658345802781916,-0.13457779300721218,0.12679603230206526,0.02587614851120401
spatial,3,skywork_vl_reward_7b,llava_onevision_qwen2_7b,1.7658345802781916,-0.13457779300721218,0.12679603230206526,0.02587614851120401
spatial,2,idefics3_8b_llama3,internvl3_8b_hf,1.417288317497012,-0.08335778046383358,-0.19253485645293789,-0.1435158262401276
spatial,3,idefics3_8b_llama3,internvl3_8b_hf,1.417288317497012,-0.08335778046383358,-0.19253485645293789,-0.1435158262401276
spatial,1,idefics3_8b_llama3,llava_onevision_qwen2_7b,0.2977991829869353,0.008762252165600337,-0.04969681388182512,-0.001246587681361655
spatial,2,idefics3_8b_llama3,llava_onevision_qwen2_7b,0.2977991829869353,0.008762252165600337,-0.04969681388182512,-0.001246587681361655
spatial,3,idefics3_8b_llama3,llava_onevision_qwen2_7b,0.2977991829869353,0.008762252165600337,-0.04969681388182512,-0.001246587681361655
spatial,3,phi35_vision_instruct,internvl3_8b_hf,2.480553544311792,-0.18687831921494047,-0.0942418946945186,-0.13608274782565644
spatial,2,internvl3_8b_hf,llava_onevision_qwen2_7b,1.1194891345100766,0.09212003262943391,0.14283804257111277,0.14226923855876594
spatial,3,internvl3_8b_hf,llava_onevision_qwen2_7b,1.1194891345100766,0.09212003262943391,0.14283804257111277,0.14226923855876594
